id;cnae3;dcnae_agr3;provincia;anio;gradvinc;noprotra;noprovin;volneg;fact;num_bancos;pmc;target
435654;551;HOTELES Y ALOJAMIENTOS SIMILARES;07;2005;4;1;2;21174.11;1500.8;2;;0
669918;821;ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA;15;2006;4;0;0;348411.07;;;43.89;0
580172;433;ACABADO DE EDIFICIOS;28;1988;1;4;1;6661.27;;;;0
793117;453;COMERCIO DE REPUESTOS Y ACCESORIOS DE VEHICULOS DE MOTOR;36;2006;1;4;4;34185.3;59.03;1;17.79;1
284352;412;CONSTRUCCION DE EDIFICIOS;08;2005;5;0;0;0;;;;0
389361;465;COMERCIO AL POR MAYOR DE EQUIPOS PARA LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES;09;2005;5;0;0;0;797.85;1;31.03;0
878095;771;ALQUILER DE VEHICULOS DE MOTOR;18;2017;1;2;1;23976.05;;;;0
202575;829;ACTIVIDADES DE APOYO A LAS EMPRESAS;08;2005;5;0;0;0;;;106.7;0
639552;412;CONSTRUCCION DE EDIFICIOS;11;2018;5;0;0;0;;;;0
521894;692;ACTIVIDADES DE CONTABILIDAD. TENEDURIA DE LIBROS. AUDITORIA Y ASESORIA FISCAL;11;2006;2;3;0;217041.87;;;52.82;0
166757;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;04;1992;5;0;0;0;;;;0
168885;411;PROMOCION INMOBILIARIA;48;1999;5;0;0;0;;;213.69;0
57971;463;COMERCIO AL POR MAYOR DE PRODUCTOS ALIMENTICIOS. BEBIDAS Y TABACO;14;1993;5;0;0;0;;;;0
407786;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;08;2006;5;0;0;0;1331.33;1;;0
293174;012;CULTIVOS PERENNES;13;1995;1;5;5;164036.98;199.78;1;26.13;0
847972;181;ARTES GRAFICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS;18;1995;2;3;0;6288.54;206.2;1;;1
236781;412;CONSTRUCCION DE EDIFICIOS;35;2003;5;0;1;0;;;;0
663652;014;PRODUCCION GANADERA;08;2012;4;1;2;73386.07;;;322.4;0
644821;439;OTRAS ACTIVIDADES DE CONSTRUCCION ESPECIALIZADA;28;2010;5;0;0;0;;;;0
